"origin_iso","destination_iso","originregion_name","destinationregion_name","origin_name","destination_name","ftype","countryflow_2001","countryflow_2002","countryflow_2003","countryflow_2004","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015"
"GB","MA","Eurocontrol","Africa","United Kingdom","Morocco","outbound",0,0,0,0,0,2523,3409,2303,2431,3006,3329,2967,3346,3989,4132
"GB","MX","Eurocontrol","America","United Kingdom","Mexico","outbound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909
"GB","NG","Eurocontrol","Africa","United Kingdom","Nigeria","outbound",0,0,0,0,0,0,0,0,0,1859,1892,1863,0,0,0
"GB","QA","Eurocontrol","Middle East","United Kingdom","Qatar","outbound",0,0,0,0,0,1939,2083,2312,2251,2254,2343,2498,2455,2945,3463
"GB","RU","Eurocontrol","Asia","United Kingdom","Russian Federation","outbound",2574,2578,2861,3489,3825,4392,5334,5846,5115,5156,5764,5739,5640,5696,4879
"GB","SA","Eurocontrol","Middle East","United Kingdom","Saudi Arabia","outbound",0,0,0,0,0,0,0,0,0,2020,2204,2187,2064,2305,2312
"GB","SG","Eurocontrol","Asia","United Kingdom","Singapore","outbound",2455,2358,2670,2851,2970,2845,2851,2929,2685,2471,2534,2653,2311,2135,2178
"GB","TN","Eurocontrol","Africa","United Kingdom","Tunisia","outbound",1888,0,0,0,1982,2163,1986,0,0,2197,0,2103,2478,2436,0
"GB","US","Eurocontrol","America","United Kingdom","United States","outbound",44427,43401,42828,45408,46956,48129,50565,49781,43362,41596,44414,44632,44471,45958,48271
"GB","ZA","Eurocontrol","Africa","United Kingdom","South Africa","outbound",2644,2671,2757,2984,2897,2963,3133,2919,2888,2835,2814,2807,2617,2610,2521
"GE","RU","Eurocontrol","Asia","Georgia","Russian Federation","outbound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2210
"GR","IL","Eurocontrol","Middle East","Greece","Israel","outbound",0,0,0,0,0,0,0,0,0,2418,2725,2881,2898,3431,3739
"GR","RU","Eurocontrol","Asia","Greece","Russian Federation","outbound",0,0,0,1865,0,2442,3174,3895,3053,3723,5310,6449,9288,8776,5410
"HK","GB","Asia","Eurocontrol","Hong Kong","United Kingdom","inbound",1826,1924,1890,2301,2665,3363,4026,3784,3551,3099,3218,3132,2769,2902,3082
"IE","US","Eurocontrol","America","Ireland","United States","outbound",4835,3920,4845,5011,5885,6599,7318,7764,6927,6591,6873,6295,6809,7452,8166
"IL","BE","Middle East","Eurocontrol","Israel","Belgium","inbound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917
